Product Name,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-12-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-09,2021-12-10,2021-12-11,2021-12-13,2021-12-14,2021-12-15,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22
Dettol Soap Cooling 175g,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,,,,,,,,,,12.99,,12.99,12.99,12.99,12.99,12.99
Johnson's Baby Soap 175g,,,,,,,,,,,,,,,,,,,,,,,,,,,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99
Tetmosal 5% Soap,,,,,,,,,,,,,,,,,,,,,,,,,,,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99
Cobra Paste White 875ml,,,,,,,,,,,,,,,,,,,,,,,,,,,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99
Fatti's & Moni's Pasta Screws 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,24.99,24.99,24.99,24.99,24.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99
Aquafresh Big Teeth Paste 50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
Kiwi Paste Shoe Polish Black 50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,11.94
Head & Shoulders Shampoo Sooth Care 400ml,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,69.1,69.1,69.1,69.1,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99
Vaseline Body Lotion Aloe Soothe 400ml,,,,,,,,,,,,,,,,,,,,,,,,,,,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,32.89,32.89,32.89,32.89,32.89,32.89,32.89,46.99,46.99,46.99,46.99,46.99,46.99,46.99,32.89,34.29,48.99,48.99,48.99,48.99,48.99,48.99,48.99
Serena Linguine Pasta 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,18.0,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99
